CODIGO,FOTO,DESCRIPCION DEL PRODUCTO,REFERENCIA,REFERENCIA 2,LOCALIZACION,CODIGO BARRA,CODIGO F.,ACTIVO,DEP 1,DEP 2,DEP 3,DEP 4,DEP 5,DEP 6,DEP 7,STOCK,a Retirar
115-1,N/D,HERVIDORA ELETRICA NEGRO T30BR INTERBRAS,T30,,,1110,,S,37,,,,,,,37,
116-8,N/D,HERVIDORA ELETRICA T30PY INTERBRAS NEGRO,T30,,,1111,,S,382,,,,,,,382,
117-5,N/D,HORNALLA ELCTRICA C10 PY INTERBRAS,C10,,,1107,,S,1,,,,,,,1,
118-2,N/D,HORNALLA ELCTRICA C20 PY INTERBRAS,C20,,,1108,,S,1,,,,,,,1,
132-8,N/D,MIXTERA 3 EN1 G40 PY 800W INTERBRAS,G40,,,1100,,S,318,,,,,,,318,
133-5,N/D,MIXTERA 4 EN 1 G50 PY 800W INTERBRAS OK,G50,,,1007,,S,285,,,,,2,,287,
135-9,N/D,OLLA A PRESION ELECTRICA P10PY INTERBRAS,P10,,,1113,,S,,,,,,34,,34,
136-6,N/D,OLLA MULTICOOKER INOX  A10PY INTERBRAS,A10,,,1114,,S,67,,,,,4,,71,
137-3,N/D,PARRILLA GRILL H10 PY INTERBRAS,H10,,,1105,,S,1,,,,,,,1,
138-0,N/D,PARRILLA GRILL H20 PY- INTERBRAS,H20,,,1106,,S,172,,,,,1,,173,
139-7,N/D,PLANCHA F10 PY INTERBRAS,F10,,,1102,,S,1138,,,,,,,1138,
141-0,N/D,PLANCHA F20 PY INTERBRAS,F20,,,1009,,S,124,,,,,3,,127,
142-7,N/D,PLANCHA F40 PY INTERBRAS,F40,,,1010,,S,1130,,,,,1,,1131,
143-4,N/D,PLANCHA F50 PY INTERBRAS,F50,,,1103,,S,512,,,,,2,,514,
254-7,N/D,XIAOMI ROBOT VACUUM S40 BHR084AEU,BHR084AEU,,,2547,2547,S,-270,,,,,,,-270,270
256-1,N/D,XIAOMI ROBOT VACUUM S40 BHR084AUS,BHR084AUS,,,2561,2561,S,-84,,,,,,,-84,84
255-4,N/D,XIAOMI ROBOT VACUUM X20 MAX,X20 MAX,,,2554,2554,S,-551,,,,,,,-551,551
119-9,N/D,"HOVER BOARD 6,5 - ROXO GALAXIA (4)-INTERBRAS",,,,1116,,S,-71,,,,,2,,-69,71
120-5,N/D,"HOVER BOARD 6,5 HIP HOP (1) INTERBRAS",,,,1131,,S,-63,,,,,,,-63,63
122-9,N/D,"HOVER BOARD 6,5 ROSA PINK INTERBRAS",,,,1133,,S,-70,,,,,,,-70,70
121-2,N/D,"HOVER BOARD 6,5- ROSA CAMUFLADO (13)-INTERBRAS",,,,1132,,S,-56,,,,,2,,-54,56
123-6,N/D,"HOVER BOARD 6,5-AZUL CAMUFLADO (8) INTERBRAS",,,,1134,,S,-62,,,,,,,-62,62
124-3,N/D,"HOVER BOARD 6,5-AZUL FUEGO (14)-INTERBRAS",,,,1135,,S,-64,,,,,2,,-62,64
125-0,N/D,"HOVER BOARD 6,5-BLACK -INTERBRAS",,,,1136,,S,-83,,,,,3,,-80,83
126-7,N/D,"HOVER BOARD 6,5-GRAFITI (2) INTERBRAS",,,,1137,,S,-56,,,,,,,-56,56
127-4,N/D,"HOVER BOARD 6,5-ROJO FUEGO-(12) INTERBRAS",RF,,,1006,,S,-67,,,,,,,-67,67
264-6,N/D,HOVER BOARD 8.5 - AZUL CAMUFLADO-INTERBRAS,,,,2646,2646,S,-27,,,,,,,-27,27
259-2,N/D,HOVER BOARD 8.5 - AZUL FUEGO-INTERBRAS,,,,2592,2592,S,-28,,,,,,,-28,28
258-5,N/D,HOVER BOARD 8.5 - AZUL GALAXIA INTERBRAS,,,,2585,2585,S,-26,,,,,,,-26,26
262-2,N/D,HOVER BOARD 8.5 - GALAXIA INTERBRAS,,,,2622,2622,S,-28,,,,,,,-28,28
266-0,N/D,HOVER BOARD 8.5 - GRIS-INTERBRAS,,,,2660,2660,S,-26,,,,,,,-26,26
263-9,N/D,HOVER BOARD 8.5 - HIP HOP INTERBRAS,,,,2639,2639,S,-28,,,,,,,-28,28
261-5,N/D,HOVER BOARD 8.5 - NEGRO-INTERBRAS,,,,2615,2615,S,-26,,,,,,,-26,26
260-8,N/D,HOVER BOARD 8.5 - ROJO FUEGO-INTERBRAS,,,,2608,2608,S,-27,,,,,,,-27,27
257-8,N/D,HOVER BOARD 8.5 - ROSA GALAXIA-INTERBRAS,,,,2578,2578,S,-28,,,,,,,-28,28
265-3,N/D,HOVER BOARD 8.5 - VERDE CAMUFLADO-INTERBRAS,,,,2653,2653,S,-26,,,,,,,-26,26
192-2,N/D,X-SCOOTER CROSS EVO,CROSS EVO,,,100004,1922,S,,,,,,2,,2,
193-9,N/D,X-SCOOTER ESCAPE INTERBRAS,ESCAPE,,,1000005,1939,S,,,,,,1,,1,
151-9,N/D,X-SCOOTER GT-S F8 INTERBRAS 99KG,F8,,,1138,,S,4,,,,,,,4,
152-6,N/D,"X-SCOOTER PRO 8,5 NEGRO- INTERBRAS","PRO 8,5",,,1139,,S,12,,,,,587,,599,
153-3,N/D,"X-SCOOTER PRO MAX 10,5 - INTERBRAS","PRO 10,5",,,1012,,S,,,,,,45,,45,
190-8,N/D,X-SCOOTER ULTRA 500W,ULTRA 500W,,,100002,1908,S,-1,,,,,195,,194,
155-7,N/D,X-SCOOTER XTREME  F5 INTERBRAS,F50,,,1141,,S,,,,,,9,,9,
227-1,N/D,"X-TRICICLO INTERBRAS 6,5 N29 AZUL ARA¤A",,,,2271,2271,S,-3,,,,,,,-3,3
226-4,N/D,"X-TRICICLO INTERBRAS 6,5 N30 ROJO ARA¤A",,,,2264,2264,S,-3,,,,,,,-3,3
222-6,N/D,"X-TRICICLO INTERBRAS 6,5 N4 LILA GALAXIA",,,,2226,2226,S,-4,,,,,1,,-3,4
232-5,N/D,X-TRICICLO INTERBRAS 8.0 N3 AZUL CAMUFLADO,,,,2325,2325,S,-5,,,,,,,-5,5
236-3,N/D,X-TRICICLO INTERBRAS 8.0 N30 ROJO ARA¤A,,,,2363,2363,S,-4,,,,,,,-4,4
231-8,N/D,X-TRICICLO INTERBRAS 8.0 N4 LILA GALAXIA,,,,2318,2318,S,-5,,,,,,,-5,5
234-9,N/D,X-TRICICLO INTERBRAS 8.0 N40 ROSA,,,,2349,2349,S,-4,,,,,,,-4,4
233-2,N/D,X-TRICICLO INTERBRAS 8.0 N5 NEGRO-BLACK,,,,2332,2332,S,,,,,,1,,1,
238-7,N/D,X-TRICICLO INTERBRAS 8.0 N9 AZUL OCEANO,,,,2387,2387,S,,,,,,1,,1,
187-8,N/D,IN 3200 TV LED HD - INTERBRAS,,,,1878,1878,S,962,,,,,14,,976,
128-1,N/D,IN 4300TV LED FHD- INTERBRAS,IN 43,,,1024,,S,,,,,,3,,3,
210-3,N/D,IN 5000 TV LED 4K INTERBRAS,IN 50,,,10000010,2103,S,43,,,,,1,,44,1
129-8,N/D,IN 5500TV LED 4K - INTERBRAS,,,,1025,,S,,,,,,9,,9,
211-0,N/D,IN 6500 TV LED 4K INTERBRAS,IN 6000,,,10000011,2110,S,,,,,,13,,13,
130-4,N/D,IN 8500TV LED HD- INTERBRAS,,,,1026,,S,,,,,,9,,9,
241-7,N/D,TV 32 LED HD 3200 TENSEI,32 INCH,,,2417,2417,S,696,,,,,5,,701,4
242-4,N/D,TV 43 LED FHD 4300 TENSEI,43 INCH,,,2424,2424,S,433,,,,,5,,438,4
